report_date,property,sports_wagering_net_receipts,sports_wagering_handle,sports_wagering_payouts,retail_net_receipts,retail_handle,retail_payouts,internet_net_receipts,internet_handle,internet_payouts,state_tax
2020-02-01,Catfish Bend Casino,-74193.57,1694676.15,1768869.72,-86015.35,732877.05,818892.4,11821.78,961799.1,949977.32,0.0
2020-02-01,Diamond Jo - Dubuque,-13177.25,1067001.25,1080178.5,-13177.25,1067001.25,1080178.5,0.0,0.0,0.0,0.0
2020-02-01,Diamond Jo - Worth,259859.0,3580877.75,3321018.75,259859.0,3580877.75,3321018.75,0.0,0.0,0.0,17540.48
2020-02-01,Grand Falls Casino Resort,49930.51,1759892.88,1709962.37,31085.54,1233846.17,1202760.63,18844.97,526046.71,507201.74,3370.31
2020-02-01,Hard Rock Casino,-25381.11,1537556.16,1562937.27,-55444.79,726942.96,782387.75,30063.68,810613.2,780549.52,0.0
2020-02-01,Harrah's Council Bluffs Casino & Hotel,-92262.58,1008985.47,1101248.05,-92262.58,1008985.47,1101248.05,0.0,0.0,0.0,0.0
2020-02-01,Horseshoe Casino Council Bluffs,-179132.01,2931805.52,3110937.53,-179132.01,2931805.52,3110937.53,0.0,0.0,0.0,0.0
2020-02-01,Isle Casino Hotel Waterloo,128400.6,5087255.01,4958854.41,1076.6,295558.45,294481.85,127324.0,4791696.56,4664372.56,8667.04
2020-02-01,Isle of Capri - Bettendorf,62910.18,2951651.15,2888740.97,-6530.19,605558.76,612088.95,69440.37,2346092.39,2276652.02,0.0
2020-02-01,Lakeside Casino,-227296.43,1517187.02,1744483.45,-223314.78,341005.52,564320.3,-3981.65,1176181.5,1180163.15,0.0
2020-02-01,Prairie Meadows Racetrack & Casino,705902.33,21569234.98,20863332.65,-91603.45,1303192.35,1394795.8,797505.78,20266042.63,19468536.85,47648.41
2020-02-01,Q Casino,-7391.13,1550353.92,1557745.05,-32721.27,480458.8,513180.07,25330.14,1069895.12,1044564.98,0.0
2020-02-01,Rhythm City Casino,33141.82,1961877.24,1928735.42,7435.98,449013.84,441577.86,25705.84,1512863.4,1487157.56,2237.07
2020-02-01,Riverside Casino and Golf Resort,173934.12,4250233.24,4076299.12,-10294.19,435959.31,446253.5,184228.31,3814273.93,3630045.62,11740.55
2020-02-01,Wild Rose - Clinton,8192.73,269677.9,261485.17,5653.46,208205.45,202551.99,2539.27,61472.45,58933.18,465.8
2020-02-01,Wild Rose - Emmetsburg,9939.58,203927.24,193987.66,-1260.63,121355.04,122615.67,11200.21,82572.2,71371.99,616.57
2020-02-01,Wild Rose - Jefferson,94855.1,626364.23,531509.13,24969.14,259041.33,234072.19,69885.96,367322.9,297436.94,5676.62
2020-03-01,Ameristar II,33888.23,1260835.43,1226947.2,33888.23,1260835.43,1226947.2,0.0,0.0,0.0,0.0
2020-03-01,Casino Queen - Marquette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,Catfish Bend Casino,24793.41,669768.78,644975.37,2052.9,257330.65,255277.75,22740.51,412438.13,389697.62,0.0
2020-03-01,Diamond Jo - Dubuque,-3996.5,197145.0,201141.5,-3996.5,197145.0,201141.5,0.0,0.0,0.0,0.0
2020-03-01,Diamond Jo - Worth,-14565.5,1095307.75,1109873.25,-14565.5,1095307.75,1109873.25,0.0,0.0,0.0,0.0
2020-03-01,Grand Falls Casino Resort,-9838.3,598717.69,608555.99,-15329.87,414218.67,429548.54,5491.57,184499.02,179007.45,0.0
2020-03-01,Hard Rock Casino,17987.06,527460.25,509473.19,-3218.53,224073.12,227291.65,21205.59,303387.13,282181.54,0.0
2020-03-01,Harrah's Council Bluffs Casino & Hotel,-55460.67,302858.18,358318.85,-55460.67,302858.18,358318.85,0.0,0.0,0.0,0.0
2020-03-01,Horseshoe Casino Council Bluffs,-24646.43,994934.52,1019580.95,-24646.43,994934.52,1019580.95,0.0,0.0,0.0,0.0
2020-03-01,Isle Casino Hotel Waterloo,140499.25,1699889.36,1559390.11,-7863.45,57989.15,65852.6,148362.7,1641900.21,1493537.51,9483.7
2020-03-01,Isle of Capri - Bettendorf,98431.0,902765.26,804334.26,13287.58,160348.48,147060.9,85143.42,742416.78,657273.36,4195.82
2020-03-01,Lakeside Casino,1309.24,535283.27,533974.03,-22635.05,70532.2,93167.25,23944.29,464751.07,440806.78,0.0
2020-03-01,Prairie Meadows Racetrack & Casino,612063.8,6830707.4,6218643.6,19780.2,635783.05,616002.85,592283.6,6194924.35,5602640.75,41314.31
2020-03-01,Q Casino,42172.8,515138.38,472965.58,-3581.55,152137.75,155719.3,45754.35,363000.63,317246.28,2347.76
2020-03-01,Rhythm City Casino,80913.8,558112.88,477199.08,18413.61,130676.56,112262.95,62500.19,427436.32,364936.13,5461.68
